17.04,12.02,16.94,174.00,192.00,26.00,230.00,99.00,,Me
20.60,4.91,3.81,174.00,190.00,24.00,228.00,97.00,,Me
18.60,11.96,7.38,174.00,189.00,27.00,228.00,99.00,,Me
16.07,16.07,10.04,171.00,185.00,31.00,228.00,97.00,,Me
17.21,13.61,13.24,173.00,185.00,33.00,228.00,100.00,,Me
15.10,17.25,2.92,174.00,188.00,32.00,228.00,102.00,,Me
20.33,18.98,7.68,173.00,185.00,35.00,228.00,102.00,,Me
17.16,17.59,2.77,175.00,188.00,34.00,228.00,102.00,,Me
-0.92,-0.69,5.30,188.00,212.00,72.00,263.00,80.00,,Me
0.00,-0.68,3.81,189.00,207.00,72.00,263.00,81.00,,Me
0.00,-0.46,5.30,188.00,207.00,74.00,265.00,79.00,,Me
-0.46,-1.83,5.30,189.00,206.00,69.00,263.00,80.00,,Me
0.00,-4.99,3.81,189.00,200.00,69.00,269.00,78.00,,Me
-2.62,-7.66,3.22,189.00,199.00,69.00,269.00,79.00,,Me
-3.99,-9.11,2.69,189.00,199.00,71.00,267.00,80.00,,Me
1.60,5.28,6.27,188.00,200.00,70.00,265.00,84.00,,Me
2.09,7.70,13.24,189.00,199.00,72.00,263.00,83.00,,Me
2.10,7.73,15.03,188.00,200.00,71.00,265.00,83.00,,Me
0.94,7.09,18.95,189.00,199.00,69.00,263.00,80.00,,Me
1.77,5.99,273.96,188.00,196.00,66.00,263.00,80.00,,Me
2.46,6.26,2.69,187.00,197.00,67.00,263.00,80.00,,Me
2.03,4.97,3.29,188.00,195.00,74.00,261.00,82.00,,Me
1.31,4.38,273.96,189.00,199.00,74.00,261.00,82.00,,Me
0.65,2.38,273.96,190.00,197.00,75.00,261.00,83.00,,Me
1.95,3.25,5.00,188.00,202.00,72.00,261.00,83.00,,Me
-0.68,-1.58,3.29,189.00,203.00,72.00,261.00,85.00,,Me
-0.68,-0.91,3.81,189.00,199.00,70.00,259.00,86.00,,Me
-0.69,-1.84,6.27,189.00,202.00,70.00,261.00,85.00,,Me
0.00,-2.58,13.24,192.00,204.00,71.00,261.00,86.00,,Me
-0.47,-1.89,15.03,190.00,202.00,68.00,259.00,86.00,,Me
4.22,8.46,3.81,190.00,188.00,66.00,259.00,87.00,,Me
1.43,9.85,13.24,192.00,195.00,67.00,257.00,87.00,,Me
2.87,10.83,16.16,190.00,202.00,70.00,259.00,87.00,,Me
0.47,4.72,16.94,192.00,203.00,70.00,259.00,87.00,,Me
2.34,4.68,13.24,193.00,199.00,70.00,259.00,87.00,,Me
-5.14,3.97,13.24,190.00,190.00,67.00,265.00,87.00,,Me
-0.52,1.56,3.81,195.00,190.00,67.00,263.00,87.00,,Me
-10.21,-1.52,12.37,222.00,204.00,265.00,130.00,139.00,,Father
-14.66,-0.52,19.15,222.00,204.00,263.00,131.00,129.00,,Father
-10.21,-1.52,12.37,222.00,204.00,265.00,130.00,139.00,,Father
-14.66,-0.52,19.15,222.00,204.00,263.00,131.00,129.00,,Father
-2.73,0.00,7.68,222.00,204.00,263.00,132.00,143.00,,Father
-2.65,-0.53,7.38,220.00,200.00,263.00,137.00,119.00,,Father
-6.12,0.51,2.62,222.00,202.00,263.00,137.00,123.00,,Father
-1.00,0.50,14.67,220.00,202.00,263.00,136.00,101.00,,Father
-4.36,0.97,13.24,222.00,202.00,263.00,136.00,143.00,,Father
-2.67,1.07,19.15,222.00,203.00,263.00,136.00,159.00,,Father
-1.56,1.04,3.81,222.00,202.00,261.00,135.00,129.00,,Father
5.06,3.68,7.38,222.00,202.00,263.00,136.00,102.00,,Father
9.16,2.28,7.38,222.00,202.00,263.00,137.00,145.00,,Father
7.28,3.63,5.30,222.00,202.00,263.00,136.00,150.00,,Father
6.72,4.47,2.92,222.00,202.00,263.00,136.00,145.00,,Father
4.53,4.07,3.81,222.00,202.00,263.00,135.00,128.00,,Father
1.38,3.69,7.38,217.00,204.00,261.00,133.00,161.00,,Father
4.90,3.56,2.62,218.00,204.00,263.00,135.00,162.00,,Father
4.82,4.38,3.22,218.00,204.00,263.00,135.00,141.00,,Father
4.45,4.45,2.62,218.00,204.00,263.00,134.00,129.00,,Father
8.06,3.38,7.97,218.00,204.00,263.00,134.00,133.00,,Father
6.22,-0.56,10.04,217.00,204.00,263.00,133.00,142.00,,Father
7.89,1.69,10.04,217.00,204.00,263.00,132.00,121.00,,Father
7.79,-2.39,2.92,218.00,204.00,263.00,138.00,147.00,,Father
5.61,3.27,13.24,218.00,204.00,263.00,139.00,168.00,,Father
4.04,3.54,12.37,215.00,209.00,263.00,129.00,138.00,,Father
30.78,-4.27,7.38,222.00,183.00,263.00,138.00,79.00,,Father
29.30,-5.10,5.00,215.00,175.00,263.00,157.00,61.00,,Father
30.78,-4.27,7.38,222.00,183.00,263.00,138.00,79.00,,Father
0.00,0.29,7.38,209.00,187.00,263.00,137.00,77.00,,Father
0.29,0.57,17.84,217.00,187.00,263.00,138.00,82.00,,Father
1.66,0.83,9.82,215.00,187.00,263.00,139.00,82.00,,Father
2.74,0.82,14.46,214.00,187.00,263.00,140.00,86.00,,Father
2.23,0.00,5.67,220.00,188.00,263.00,138.00,87.00,,Father
-1.13,0.56,20.58,218.00,187.00,265.00,139.00,87.00,,Father
-2.58,2.58,12.37,214.00,185.00,263.00,137.00,61.00,,Father
-20.64,-0.25,13.31,209.00,184.00,263.00,137.00,85.00,,Father
-21.47,-2.76,12.15,212.00,184.00,263.00,146.00,78.00,,Father
-18.66,-0.71,3.81,209.00,181.00,261.00,144.00,87.00,,Father
-16.48,-3.19,12.73,204.00,181.00,263.00,164.00,58.00,,Father
-21.70,-1.51,19.50,211.00,180.00,261.00,167.00,63.00,,Father
-22.30,-1.50,13.24,214.00,180.00,261.00,166.00,61.00,,Father
-23.43,-1.04,20.58,209.00,181.00,261.00,165.00,58.00,,Father
-17.56,1.00,14.67,211.00,181.00,261.00,164.00,57.00,,Father
-10.92,1.73,3.81,209.00,183.00,261.00,163.00,59.00,,Father
-11.01,2.92,10.99,214.00,181.00,261.00,163.00,63.00,,Father
-12.17,0.77,14.67,214.00,181.00,261.00,164.00,61.00,,Father
-11.60,0.98,18.40,212.00,181.00,261.00,162.00,64.00,,Father
-15.85,-0.24,18.40,206.00,180.00,261.00,163.00,65.00,,Father
-15.66,0.26,19.15,192.00,181.00,263.00,164.00,64.00,,Father
-14.41,0.00,14.67,206.00,183.00,261.00,165.00,64.00,,Father
4.82,0.00,7.97,214.00,196.00,267.00,141.00,102.00,,Mother
3.86,0.00,13.38,217.00,197.00,265.00,149.00,99.00,,Mother
2.44,-1.05,5.00,215.00,196.00,265.00,147.00,116.00,,Mother
0.99,-1.66,17.91,212.00,197.00,265.00,148.00,133.00,,Mother
-0.33,-0.99,12.66,215.00,196.00,265.00,147.00,104.00,,Mother
-1.86,-3.71,7.97,217.00,197.00,265.00,145.00,105.00,,Mother
-3.77,-1.88,10.04,199.00,192.00,263.00,149.00,104.00,,Mother
-7.14,-4.16,12.15,197.00,192.00,265.00,145.00,110.00,,Mother
-6.26,-3.44,10.04,207.00,195.00,265.00,145.00,111.00,,Mother
-4.72,-4.41,20.11,214.00,196.00,265.00,141.00,111.00,,Mother
4.33,1.24,15.60,211.00,197.00,265.00,140.00,111.00,,Mother
5.19,0.97,2.62,214.00,197.00,265.00,140.00,138.00,,Mother
